STATION_NUMBER,ADDRESS,CITY,PROVINCE,COUNTRY,POSTAL_CODE,UTM_EASTING,UTM_NORTHING,LAT,LONG
111,3300 Bayview Avenue,North York,Ontario,Canada,M2M 3R7,629254.562,4849606.5,43.790145,-79.393672
112,5700 Bathurst Street,North York,Ontario,Canada,M2R 3W2,625241.895,4847922.113,43.776303,-79.444228
113,700 Seneca Hill Drive,North York,Ontario,Canada,M2J 2W7,632675,4849871,43.791911,-79.350633
114,12 Canterbury Place,North York,Ontario,Canada,M2N 1Z7,627526.5,4847651.5,43.772601,-79.415379
115,115 Parkway Forest Drive,North York,Ontario,Canada,M2J 1P5,633496.245,4847881.079,43.774365,-79.340642
116,255 Esther Shiner Boulevard,North York,Ontario,Canada,M2K 0A9,631535.936,4847282.749,43.769068,-79.365002
121,10 William Carson Crescent,North York,Ontario,Canada,M2P 2E1,628261.812,4844955.5,43.748466,-79.406778
122,2545 Bayview Avenue,North York,Ontario,Canada,M2L 1B4,630091.688,4844954,43.748555,-79.383634
123,143 Bond Avenue,North York,Ontario,Canada,M3B 1M1,633104.622,4844755.216,43.745872,-79.346705
125,1109 Leslie Street,North York,Ontario,Canada,M3C 2J7,632958.45,4841971.252,43.721154,-79.349232
131,3135 Yonge Street,Toronto,Ontario,Canada,M4N 2K8,628665.625,4842478,43.726213,-79.402033
132,476 Lawrence Avenue West,North York,Ontario,Canada,M5N 2V3,626539.311,4841703.887,43.719772,-79.428499
133,1507 Lawrence Avenue West,North York,Ontario,Canada,M6L 1A8,622244.5,4840261,43.707105,-79.482648
134,16 Montgomery Avenue,Toronto,Ontario,Canada,M4R 1C8,628901.256,4840642.932,43.709609,-79.399779
135,325 Chaplin Crescent,Toronto,Ontario,Canada,M5N 2M9,627576.438,4839857.5,43.703086,-79.418738
141,4100 Keele Street,North York,Ontario,Canada,M3J 1P1,621409.188,4846709,43.766781,-79.492442
142,2753 Jane Street,North York,Ontario,Canada,M3N 2H6,619595.812,4844405,43.746024,-79.514411
143,1009 Sheppard Avenue West,North York,Ontario,Canada,M3H 2T7,624007.938,4845146.5,43.750644,-79.45974
145,20 Beffort Road,North York,Ontario,Canada,M3K 2B1,624002.812,4843343.5,43.734721,-79.460274
146,2220 Jane Street,North York,Ontario,Canada,M3M 1A5,620054.25,4841956.5,43.723663,-79.50936
211,900 Tapscott Road,Scarborough,Ontario,Canada,M1X 1C3,641300.075,4853574.63,43.823971,-79.242868
212,8500 Sheppard Avenue East,Scarborough,Ontario,Canada,M1B 5S1,645764.935,4851606.134,43.804757,-79.188706
213,7 Lapsley Road,Scarborough,Ontario,Canada,M1B 1K1,642709,4850414,43.794823,-79.225992
214,745 Meadowvale Road,Scarborough,Ontario,Canada,M1C 1T1,647686.312,4850441,43.794399,-79.163774
215,5318 Lawrence Avenue East,Scarborough,Ontario,Canada,M1C 1R4,649046.25,4848570,43.77713,-79.147793
221,2575 Eglinton Avenue East,Scarborough,Ontario,Canada,M1K 2R8,640515.5,4843902.62,43.734844,-79.255135
222,755 Warden Avenue,Scarborough,Ontario,Canada,M1L 4B3,638197.445,4842019.56,43.720292,-79.284483
223,116 Dorset Road,Scarborough,Ontario,Canada,M1M 2T1,642316.438,4842510,43.723913,-79.233154
